,title,views,day
329,Bad_Company,372,2021-01-01
330,The_Blues_Brothers,371,2021-01-01
331,The_Mars_Volta,371,2021-01-01
332,The_Stone_Roses,370,2021-01-01
333,S_Club_7,370,2021-01-01
334,Primus_(band),370,2021-01-01
335,Wilson_Phillips,369,2021-01-01
336,Owl_City,369,2021-01-01
337,Crowded_House,368,2021-01-01
338,Oingo_Boingo,367,2021-01-01
339,Steppenwolf_(band),366,2021-01-01
340,Celtic_Woman,366,2021-01-01
341,Tenacious_D,365,2021-01-01
342,The_Hu,364,2021-01-01
343,The_Neighbourhood,364,2021-01-01
344,Asia_(band),363,2021-01-01
345,D12,363,2021-01-01
346,Sepultura,362,2021-01-01
347,The_5th_Dimension,359,2021-01-01
348,Grand_Funk_Railroad,359,2021-01-01
349,Skillet_(band),359,2021-01-01
350,Paul_Revere_&_the_Raiders,358,2021-01-01
351,Dave_Matthews_Band,356,2021-01-01
352,The_Contours,355,2021-01-01
353,The_Grass_Roots,354,2021-01-01
354,Why_Don't_We,354,2021-01-01
355,The_Verve,354,2021-01-01
356,Dead_or_Alive_(band),354,2021-01-01
357,Tom_Petty_and_the_Heartbreakers,353,2021-01-01
358,Clipping_(band),352,2021-01-01
359,My_Bloody_Valentine_(band),352,2021-01-01
360,Pulp_(band),350,2021-01-01
361,Molchat_Doma,348,2021-01-01
362,The_Stooges,346,2021-01-01
363,Jinjer,345,2021-01-01
364,Extreme_(band),343,2021-01-01
365,They_Might_Be_Giants,343,2021-01-01
366,The_Stranglers,342,2021-01-01
367,Black_Flag_(band),341,2021-01-01
368,Marky_Mark_and_the_Funky_Bunch,341,2021-01-01
369,Death_Cab_for_Cutie,340,2021-01-01
370,Breaking_Benjamin,340,2021-01-01
371,Starship_(band),340,2021-01-01
372,Three_Days_Grace,340,2021-01-01
373,The_Isley_Brothers,339,2021-01-01
374,Dance_Gavin_Dance,338,2021-01-01
375,Cannibal_Corpse,337,2021-01-01
376,Nazareth_(band),337,2021-01-01
377,Major_Lazer,337,2021-01-01
378,Waxahatchee,336,2021-01-01
379,Good_Charlotte,335,2021-01-01
380,Melvins,335,2021-01-01
381,Dropkick_Murphys,335,2021-01-01
382,The_Platters,334,2021-01-01
383,SM_Rookies,333,2021-01-01
384,Talk_Talk,333,2021-01-01
385,Bastille_(band),332,2021-01-01
386,Gojira_(band),332,2021-01-01
387,Spinal_Tap_(band),330,2021-01-01
388,The_Dead_South,328,2021-01-01
389,The_Orb,327,2021-01-01
390,Porcupine_Tree,327,2021-01-01
391,Fisherman's_Friends,326,2021-01-01
392,The_Sisters_of_Mercy,326,2021-01-01
393,Placebo_(band),325,2021-01-01
394,Air_Supply,325,2021-01-01
395,Free_(band),325,2021-01-01
396,Hawkwind,324,2021-01-01
397,Tokio_Hotel,324,2021-01-01
398,Bay_City_Rollers,323,2021-01-01
399,Marillion,323,2021-01-01
400,The_Farm_(British_band),322,2021-01-01
401,Fugees,321,2021-01-01
402,UB40,321,2021-01-01
403,Incubus_(band),321,2021-01-01
404,A_Flock_of_Seagulls,320,2021-01-01
405,Burzum,319,2021-01-01
406,Type_O_Negative,317,2021-01-01
407,Keane_(band),316,2021-01-01
408,New_York_Dolls,316,2021-01-01
409,House_of_Pain,315,2021-01-01
410,Three_6_Mafia,314,2021-01-01
411,Snow_Patrol,313,2021-01-01
412,Cigarettes_After_Sex,313,2021-01-01
413,KC_and_the_Sunshine_Band,312,2021-01-01
414,Of_Monsters_and_Men,312,2021-01-01
415,Trio_Mandili,311,2021-01-01
416,E_Street_Band,311,2021-01-01
417,London_Grammar,311,2021-01-01
418,Amaranthe,311,2021-01-01
419,Within_Temptation,311,2021-01-01
420,Herman's_Hermits,310,2021-01-01
421,Fleet_Foxes,310,2021-01-01
422,Bread_(band),310,2021-01-01
423,Falling_in_Reverse,310,2021-01-01
424,Hanson_(band),309,2021-01-01
425,Glass_Animals,309,2021-01-01
426,Sublime_(band),308,2021-01-01
427,Alphaville_(band),307,2021-01-01
428,LCD_Soundsystem,306,2021-01-01
429,Marilyn_Manson_(band),306,2021-01-01
430,Chvrches,305,2021-01-01
431,Refused,305,2021-01-01
432,Architects_(British_band),304,2021-01-01
433,Smash_Mouth,303,2021-01-01
434,Fine_Young_Cannibals,302,2021-01-01
435,Suicidal_Tendencies,301,2021-01-01
436,Midnight_Oil,300,2021-01-01
437,Bone_Thugs-n-Harmony,300,2021-01-01
438,Bachman–Turner_Overdrive,297,2021-01-01
439,Small_Faces,297,2021-01-01
440,Butthole_Surfers,296,2021-01-01
441,The_Jam,296,2021-01-01
442,Trivium_(band),296,2021-01-01
443,Dead_Kennedys,295,2021-01-01
444,The_Black_Crowes,295,2021-01-01
445,Humble_Pie,295,2021-01-01
446,Kasabian,295,2021-01-01
447,Godsmack,295,2021-01-01
448,Killing_Joke,295,2021-01-01
449,The_Lumineers,295,2021-01-01
450,Train_(band),294,2021-01-01
451,Derek_and_the_Dominos,294,2021-01-01
452,Vampire_Weekend,294,2021-01-01
453,Public_Image_Ltd,293,2021-01-01
454,YG_Family,293,2021-01-01
